Packet Number,Latency (seconds),Average Latency (seconds)
164,0.4501669406890869,0.20566531817118328
165,0.4501669406890869,0.20713821951165257
166,0.447674036026001,0.2085785537422774
167,0.45012903213500977,0.2100163542089008
168,0.45364999771118164,0.211457973401222
169,0.44860196113586426,0.2128529380349552
170,0.4567410945892334,0.21427918456451236
171,0.4567410945892334,0.21568884683209796
172,0.4551539421081543,0.2170730381342717
173,0.4637269973754883,0.21849058962416376
174,0.47278380393981934,0.2199436937059675
175,0.47342491149902344,0.22138392789797348
176,0.47342491149902344,0.22280788825730147
177,0.48077893257141113,0.22425716378715602
178,0.48343491554260254,0.22570508418802443
179,0.4852159023284912,0.22714681095547146
180,0.489865779876709,0.2285982969716109
181,0.4951469898223877,0.23006285022903275
182,0.4951469898223877,0.2315113974399254
183,0.5018858909606934,0.23298082403514697
184,0.4971630573272705,0.23440883610699628
185,0.5053689479827881,0.23586561090202743
186,0.5053689479827881,0.23730680521796732
187,0.5134551525115967,0.23877567940569938
188,0.5154919624328613,0.24023978672330343
189,0.5161399841308594,0.24169189302544844
190,0.5197000503540039,0.24314743311617387
191,0.5170929431915283,0.24457423264781633
192,0.5271060466766357,0.24603812805729208
193,0.5296318531036377,0.24749995138227326
194,0.5296318531036377,0.24894678164751102
195,0.5374019145965576,0.25041849150949597
196,0.5374019145965576,0.2518752601546079
197,0.5402688980102539,0.2533317936791314
198,0.5392229557037354,0.2547684326842802
199,0.5458278656005859,0.2562237298488617
200,0.549170970916748,0.25768117880939845
201,0.5539560317993164,0.25914788600241784
202,0.5539560317993164,0.2606001428782646
203,0.5590119361877441,0.2620629457866444
204,0.5620160102844238,0.2635261314671214
205,0.5697000026702881,0.2650124123952921
206,0.5697000026702881,0.2664843331212583
207,0.5660388469696045,0.26792449905322147
208,0.5700321197509766,0.2693699900613447
209,0.5700321197509766,0.2708017144884382
210,0.5777242183685303,0.2722563235115666
211,0.5797290802001953,0.2737066667034941
212,0.5784108638763428,0.27513720284045584
213,0.5824718475341797,0.2765733460399592
214,0.5839738845825195,0.27800311598666877
215,0.5839738845825195,0.2794196473227607
216,0.5902628898620605,0.28085210466165145
217,0.592278003692627,0.28228066383151834
218,0.5999269485473633,0.28373110348775504
219,0.5999269485473633,0.2851683573289351
220,0.5999269485473633,0.28659260434802303
221,0.6042678356170654,0.2880235738582439
222,0.6042678356170654,0.2894417095611983
223,0.6144399642944336,0.29089259462697165
224,0.6144399642944336,0.2923305829366048
225,0.6241168975830078,0.29379866397486326
226,0.6226861476898193,0.29524750751545775
227,0.6226861476898193,0.29668364190218743
228,0.6308090686798096,0.2981427049012163
229,0.6272339820861816,0.299573536541151
230,0.6352989673614502,0.30102689338452887
231,0.641355037689209,0.3024938250410146
232,0.6435730457305908,0.3039576843572788
233,0.6402010917663574,0.30539462199577916
234,0.6402010917663574,0.30681933037778164
235,0.6435492038726807,0.30824615187564136
236,0.6480541229248047,0.3096799407830218
237,0.6520321369171143,0.31111839538862723
238,0.6596050262451172,0.3125764984466042
239,0.6596050262451172,0.3140224506457647
240,0.6596050262451172,0.3154564032416126
241,0.6683189868927002,0.3169145130914105
242,0.6683189868927002,0.3183606220370948
243,0.66975998878479,0.3198007833762247
