Frame,Start Time,End Time,Type,Delay (ms)
129,2024-11-11 18:11:16.020518,2024-11-11 18:11:16.020518,Predicted,0.0
130,2024-11-11 18:11:16.020518,2024-11-11 18:11:16.020518,Predicted,0.0
131,2024-11-11 18:11:16.020518,2024-11-11 18:11:16.030431,Predicted,9.913
132,2024-11-11 18:11:16.030431,2024-11-11 18:11:16.030431,Predicted,0.0
133,2024-11-11 18:11:16.030431,2024-11-11 18:11:16.040193,Predicted,9.762
134,2024-11-11 18:11:16.040193,2024-11-11 18:11:16.044312,Predicted,4.119000000000001
135,2024-11-11 18:11:16.044312,2024-11-11 18:11:16.044312,Predicted,0.0
136,2024-11-11 18:11:16.044312,2024-11-11 18:11:16.050438,Predicted,6.126
137,2024-11-11 18:11:16.050438,2024-11-11 18:11:16.050438,Predicted,0.0
138,2024-11-11 18:11:16.050438,2024-11-11 18:11:16.050438,Predicted,0.0
139,2024-11-11 18:11:16.050438,2024-11-11 18:11:16.060421,Predicted,9.983
140,2024-11-11 18:11:16.060421,2024-11-11 18:11:16.065736,Predicted,5.315
141,2024-11-11 18:11:16.065736,2024-11-11 18:11:16.070356,Predicted,4.62
142,2024-11-11 18:11:16.070356,2024-11-11 18:11:16.070356,Predicted,0.0
143,2024-11-11 18:11:16.070356,2024-11-11 18:11:16.077966,Predicted,7.609999999999999
144,2024-11-11 18:11:16.077966,2024-11-11 18:11:16.080077,Predicted,2.111
145,2024-11-11 18:11:16.080077,2024-11-11 18:11:16.080077,Predicted,0.0
146,2024-11-11 18:11:16.080077,2024-11-11 18:11:16.090100,Predicted,10.023000000000001
147,2024-11-11 18:11:16.090100,2024-11-11 18:11:16.092123,Predicted,2.023
148,2024-11-11 18:11:16.092123,2024-11-11 18:11:16.100312,Predicted,8.189
149,2024-11-11 18:11:16.100312,2024-11-11 18:11:16.100312,Predicted,0.0
150,2024-11-11 18:11:16.100312,2024-11-11 18:11:16.100312,Predicted,0.0
151,2024-11-11 18:11:17.274227,2024-11-11 18:11:17.287461,Client,13.234
152,2024-11-11 18:11:17.323465,2024-11-11 18:11:17.334893,Client,11.428
153,2024-11-11 18:11:17.372681,2024-11-11 18:11:17.382983,Client,10.302
154,2024-11-11 18:11:17.421628,2024-11-11 18:11:17.430453,Client,8.825
155,2024-11-11 18:11:17.471057,2024-11-11 18:11:17.480548,Client,9.491
156,2024-11-11 18:11:17.520617,2024-11-11 18:11:17.530484,Client,9.867
157,2024-11-11 18:11:17.570686,2024-11-11 18:11:17.580541,Client,9.854999999999999
158,2024-11-11 18:11:17.623056,2024-11-11 18:11:17.630678,Client,7.622
159,2024-11-11 18:11:17.670558,2024-11-11 18:11:17.675678,Client,5.12
160,2024-11-11 18:11:17.716475,2024-11-11 18:11:17.720765,Client,4.29
161,2024-11-11 18:11:17.764398,2024-11-11 18:11:17.770809,Client,6.411
162,2024-11-11 18:11:17.812625,2024-11-11 18:11:17.820397,Client,7.772
163,2024-11-11 18:11:17.860734,2024-11-11 18:11:17.870519,Client,9.785
164,2024-11-11 18:11:17.913477,2024-11-11 18:11:17.923578,Client,10.101
165,2024-11-11 18:11:17.960334,2024-11-11 18:11:17.972302,Client,11.968
166,2024-11-11 18:11:18.010156,2024-11-11 18:11:18.010156,Client,0.0
167,2024-11-11 18:11:18.054330,2024-11-11 18:11:18.060657,Client,6.327
168,2024-11-11 18:11:18.102689,2024-11-11 18:11:18.110495,Client,7.805999999999999
169,2024-11-11 18:11:18.150570,2024-11-11 18:11:18.160303,Client,9.733
170,2024-11-11 18:11:18.200428,2024-11-11 18:11:18.211836,Client,11.408
171,2024-11-11 18:11:18.250515,2024-11-11 18:11:18.260405,Client,9.889999999999999
172,2024-11-11 18:11:18.296865,2024-11-11 18:11:18.307660,Client,10.795
173,2024-11-11 18:11:18.344554,2024-11-11 18:11:18.355347,Client,10.793000000000001
174,2024-11-11 18:11:18.393977,2024-11-11 18:11:18.403542,Client,9.565000000000001
175,2024-11-11 18:11:18.443425,2024-11-11 18:11:18.450766,Client,7.341
176,2024-11-11 18:11:18.450766,2024-11-11 18:11:18.460499,Predicted,9.733
177,2024-11-11 18:11:18.460499,2024-11-11 18:11:18.466704,Predicted,6.204999999999999
178,2024-11-11 18:11:18.466704,2024-11-11 18:11:18.471698,Predicted,4.994
179,2024-11-11 18:11:18.471698,2024-11-11 18:11:18.471698,Predicted,0.0
180,2024-11-11 18:11:18.471698,2024-11-11 18:11:18.471698,Predicted,0.0
181,2024-11-11 18:11:18.471698,2024-11-11 18:11:18.482544,Predicted,10.846
182,2024-11-11 18:11:18.482544,2024-11-11 18:11:18.482544,Predicted,0.0
183,2024-11-11 18:11:18.482544,2024-11-11 18:11:18.490154,Predicted,7.609999999999999
184,2024-11-11 18:11:18.490154,2024-11-11 18:11:18.493271,Predicted,3.117
185,2024-11-11 18:11:18.493271,2024-11-11 18:11:18.498390,Predicted,5.119000000000001
186,2024-11-11 18:11:18.500595,2024-11-11 18:11:18.500595,Predicted,0.0
187,2024-11-11 18:11:18.500595,2024-11-11 18:11:18.500595,Predicted,0.0
188,2024-11-11 18:11:18.500595,2024-11-11 18:11:18.510688,Predicted,10.093
189,2024-11-11 18:11:18.510688,2024-11-11 18:11:18.514294,Predicted,3.606
190,2024-11-11 18:11:18.514294,2024-11-11 18:11:18.520562,Predicted,6.268
191,2024-11-11 18:11:18.520562,2024-11-11 18:11:18.520562,Predicted,0.0
192,2024-11-11 18:11:18.520562,2024-11-11 18:11:18.520562,Predicted,0.0
193,2024-11-11 18:11:18.520562,2024-11-11 18:11:18.530479,Predicted,9.917
194,2024-11-11 18:11:18.530479,2024-11-11 18:11:18.530479,Predicted,0.0
195,2024-11-11 18:11:18.530479,2024-11-11 18:11:18.540405,Predicted,9.926
